epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,170.082,1.84462,3.98449,0.02266,0.22316,0.09321,0.04574,0.02322,2.16595,4.32599,0.03477,0.000166419,0.000166419,0.0668827
2,318.713,1.73866,3.37239,0.02081,0.60804,0.13401,0.12438,0.06034,1.94285,3.36057,0.02935,0.000329788,0.000329788,0.0337127
3,464.942,1.69063,3.16763,0.02029,0.33582,0.15915,0.14952,0.07628,1.91342,3.15314,0.02957,0.000489857,0.000489857,0.00053946
4,611.125,1.68138,3.02662,0.02013,0.4078,0.1942,0.1711,0.08245,1.8916,2.9686,0.02923,0.00048515,0.00048515,0.00048515
5,757.221,1.67329,2.93658,0.01973,0.42072,0.25086,0.21656,0.10885,1.85201,2.75518,0.02831,0.0004802,0.0004802,0.0004802
6,903.114,1.65412,2.86456,0.01937,0.42761,0.23806,0.20743,0.11059,1.81466,2.77054,0.0271,0.00047525,0.00047525,0.00047525
7,1050,1.63943,2.81512,0.01935,0.4976,0.2403,0.22971,0.12618,1.80173,2.6641,0.02666,0.0004703,0.0004703,0.0004703
8,1196.92,1.64341,2.76322,0.01912,0.49373,0.26287,0.2306,0.12312,1.81112,2.63666,0.02652,0.00046535,0.00046535,0.00046535
9,1342.82,1.63004,2.74008,0.01899,0.48451,0.27431,0.24447,0.13168,1.85492,2.61237,0.02789,0.0004604,0.0004604,0.0004604
10,1489.07,1.62704,2.69845,0.019,0.48834,0.28437,0.24786,0.12825,1.7948,2.59775,0.0263,0.00045545,0.00045545,0.00045545
11,1635.23,1.61269,2.67051,0.01881,0.50858,0.26496,0.25025,0.12538,1.83972,2.61571,0.02772,0.0004505,0.0004505,0.0004505
12,1780.98,1.60733,2.62769,0.01846,0.48797,0.29249,0.25607,0.13499,1.7993,2.56836,0.02642,0.00044555,0.00044555,0.00044555
13,1927.07,1.60722,2.60732,0.01862,0.51199,0.29556,0.27619,0.15041,1.77449,2.44371,0.02596,0.0004406,0.0004406,0.0004406
14,2073.4,1.59501,2.5668,0.01837,0.49556,0.28259,0.25561,0.13502,1.76988,2.51848,0.02575,0.00043565,0.00043565,0.00043565
