epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,129.107,1.90376,3.16071,2.01657,0.13151,0.10043,0.05604,0.02197,2.64887,5.07484,2.72844,0.000166419,0.000166419,0.0668827
2,247.534,1.81915,2.77342,1.93085,0.29747,0.20013,0.13922,0.06563,2.15322,3.01333,2.19173,0.000329788,0.000329788,0.0337127
3,365.886,1.79603,2.69477,1.91894,0.26918,0.20786,0.17322,0.08736,2.11161,2.75757,2.04672,0.000489857,0.000489857,0.00053946
4,483.695,1.76041,2.59345,1.88379,0.43864,0.21582,0.19332,0.09457,2.05017,2.61834,2.00708,0.00048515,0.00048515,0.00048515
5,601.326,1.74004,2.51571,1.85816,0.39301,0.27473,0.22464,0.10761,1.99743,2.51946,2.00898,0.0004802,0.0004802,0.0004802
6,718.905,1.71487,2.44764,1.83502,0.43486,0.25979,0.2216,0.11739,1.99768,2.46008,1.89807,0.00047525,0.00047525,0.00047525
7,836.073,1.7018,2.40725,1.82688,0.49413,0.24342,0.2326,0.12175,1.95977,2.40161,1.92695,0.0004703,0.0004703,0.0004703
8,953.819,1.69292,2.37125,1.81171,0.50282,0.25397,0.2405,0.12495,1.97734,2.36765,1.92057,0.00046535,0.00046535,0.00046535
9,1070.89,1.66879,2.34873,1.79627,0.48726,0.26653,0.24701,0.12977,1.94082,2.30614,1.87933,0.0004604,0.0004604,0.0004604
10,1188.42,1.66534,2.30344,1.78599,0.32575,0.28591,0.24241,0.12613,1.94613,2.29117,1.89948,0.00045545,0.00045545,0.00045545
11,1305.1,1.63973,2.29127,1.77763,0.35147,0.2734,0.26167,0.13778,1.95322,2.29024,1.86979,0.0004505,0.0004505,0.0004505
12,1421.59,1.63161,2.24516,1.75696,0.43822,0.28548,0.24855,0.12947,1.93712,2.26444,1.91258,0.00044555,0.00044555,0.00044555
